Empreendimento;Bairro;Cidade;Lat;Lon; Valorempr ;ValorM;Area
Edificio Lirios Apto AP0023RE69 - REMAX Home Exclusividades;Freguesia (Jacarepaguá); Rio de Janeiro - RJ;-22945670;-43352840; R$ 175.000,00 ;3365,00;Zona Oeste
Bella Vita - V1 Empreendimentos;Madureira; Rio de Janeiro - RJ;-22873040;-43335700; R$ 175.000,00 ;3738,00;Zona Norte
Flor de Laranjeira - MRV RJ;Guaratiba; Rio de Janeiro - RJ;-23062270;-43565740; R$ 172.500,00 ;4188,00;Zona Oeste
Link Office Mall & Stay - Office - Helbor RJ;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 171.633,00 ;6310,00;Zona Oeste
Viva Vida Zona Norte - Direcional RJ;Pavuna; Rio de Janeiro - RJ;-22813551;-43360222; R$ 171.500,00 ;4155,00;Zona Norte
Conquista Vila Dutra - Direcional RJ;Pavuna; Rio de Janeiro - RJ;-22813551;-43360222; R$ 169.900,00 ;4138,00;Zona Norte
Estação Guanabara I - Tenda RJ;Braz de Pina; Rio de Janeiro - RJ;-22838830;-43295310; R$ 169.341,00 ;4177,00;Zona Norte
Viva Vida Moinho - Direcional RJ;Campo Grande; Rio de Janeiro - RJ;-22904640;-43573540; R$ 167.000,00 ;4066,00;Zona Oeste
Passeio Empresarial - Santa Isabel;Campo Grande; Rio de Janeiro - RJ;-22904640;-43573540; R$ 162.734,00 ;7431,00;Zona Oeste
Viva Vida Moinho - Fase 2 - Direcional RJ;Campo Grande; Rio de Janeiro - RJ;-22904640;-43573540; R$ 162.000,00 ;3925,00;Zona Oeste
Vivaz Magarça - Vivaz RJ;Guaratiba; Rio de Janeiro - RJ;-23062270;-43565740; R$ 152.302,00 ;3601,00;Zona Oeste
Morada do Bosque - Pró Lotes;Campo Grande; Rio de Janeiro - RJ;-22904640;-43573540; R$ 135.000,00 ;742,00;Zona Oeste
Map Offices Band - Calçada;Jacarepaguá; Rio de Janeiro - RJ;-22973000;-43392780; R$ 102.507,00 ;4643,00;Zona Oeste
Ed. Itu Sala SA0001 - Homer Exclusividades;Centro; Rio de Janeiro - RJ;-22904480;-43177900; R$ 100.000,00 ;3704,00;Centro
3R Offices - Fernandes Araujo;Freguesia (Jacarepaguá); Rio de Janeiro - RJ;-22945670;-43352840; R$ 99.100,00 ;4401,00;Zona Oeste
UP Side Araguaia - Sinco RJ;Jacarepaguá; Rio de Janeiro - RJ;-22973000;-43392780; R$ 99.000,00 ;3557,00;Zona Oeste
Madureira Office Park - MDL RJ;Madureira; Rio de Janeiro - RJ;-22873040;-43335700; R$ 85.923,00 ;4987,00;Zona Norte
Santo Afonso Sala SA0096REP3 - REMAX Home Group Exclusividades;Centro; Rio de Janeiro - RJ;-22904480;-43177900; R$ 80.000,00 ;2667,00;Centro
Camila Loteamento - Fernandes Araujo;Campo Grande; Rio de Janeiro - RJ;-22904640;-43573540; R$ 52.850,00 ;591,00;Zona Oeste
Atlântico Golf - Breve Lançamento - Patrimar;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ -   ;0,00;Zona Oeste
Esplendor Carioca - Fase 3 - Breve Lançamento - MRV RJ;Del Castilho; Rio de Janeiro - RJ;-22880280;-43268390; R$ -   ;0,00;Zona Norte
Esplendor Carioca - Fase 2 - Breve Lançamento - MRV RJ;Del Castilho; Rio de Janeiro - RJ;-22880280;-43268390; R$ -   ;0,00;Zona Norte
